,tweet_content,harassment,indirecth,physicalh,sexualh
80, lillydelben you x89 re cause stole pussy enough back ain x89 t ain x89 t x89 t co 9jhjboapfg ,1,0,0,1
81, archive19424198 trees animals flowers i m going for a pastel 80s georgia o keefe golden girls country slut look rn tbh lmao,1,0,0,1
82, nina bryce22 regardless of whatever u ask me the answer is you decide i can call somebody a bitch slut or a pu ,1,0,0,1
83, yaranazar slut shaming mostly comes females matter female to female issue ,1,0,0,1
84,good morning nudes cumwhore venmo sugardaddy sugarbaby horny ass youngteen schoolgirl cumslut tits ,1,0,0,1
85, cute glasses porn cumshot tits t co wdas8di6zg ,1,0,0,1
86,this week our littlelions had lots of fun working on their balance amp coordination amp jumping skills we also heard ,0,0,0,0
87, arianagrande girl as long as you don t think he s a good person or sumn just bc he didn t slut shame u to ur face we chillin,1,0,0,1
88, joonsmind y x89 all really turning hollywood movies editors thought t co 5quxnkipy8 ,0,0,0,0
89,rt elizaporn retweet amp follow i try a new doggystyle fly and fuck full videos ,0,0,0,0
90,ari the perfect example of a slut you hoes go to a new dino in a matter of months n still try to fw yo ex on top o ,1,0,0,1
91, larry28always sassy bitch x8d x8d t co 3ilgoqozxe ,0,0,0,0
92, you re bitch x89 slut better too t co rti1vp1xed ,1,0,0,1
93,rt varshraja hastalavista 90 nuzhatw24 xrainbow girlx see i know you don t but others in ur fd do it and we have proofs of ur fd ppl ,0,0,0,0
94,don t mess boy watching dave amp ava his favorite youtube show he s just so beautiful how could i resist ,0,0,0,0
95, inmycudizone people short memory loss steffy slut brooke hogan isn x89 t queen of x89 ,1,0,0,1
96,the people that work in the dining hall are all sitting here talking shit about this girl that came in first thing ,1,1,0,0
97, 3 3 missing anything former green beret nateboyer37 about country either x89 t co d4dcoru2ty ,0,0,0,0
98, danielsliving not a slut just experienced ,1,0,0,1
99, hell bitch flocka month century i x89 t co aangtag4lb ,1,0,0,1
100,rt tiapogai51 all these man are very lucky gt then sign up note verify email to send msg to girls slut ass dick cock jailbait ,1,0,0,1
101, amiiraashardaee chopped think lmfaoooo it x89 s though ,0,0,0,0
102,naked sexy mature interracial anal ho aberdeen slut gets fucked by teens monkey and teen sex amateur movis scenes a ,1,0,0,1
103,rt pantero7445 all dumbasses who went to fight for isis made their choice they left america amp now want to come home i have no problem ,0,0,0,0
104, sweet but psycho by ava max replaces shallow by lady gaga amp bradley cooper at no 1 in the australian song chart ,0,0,0,0
105,time for a real play she thought ju slowly sits on the pillow as feeling the soft fabric running against her wet s ,0,0,0,0
106,do you want to eat my pussy i feel very bitch cum cock dick balls wank horny wanktribute cocktribute ,1,0,0,1
107, x89 x8f watch x89 x8f n nt co zaryusjzml n ndoggy style blowjob dicksucking doggie style girlsfuc x89 t co vuvbgt8iwt ,0,0,0,0
108, briannawu pro wall ever hear of a campaign promise ,0,0,0,0
109, fastcompany x89 people wanted lipstick t co 90dknpmyzo ,0,0,0,0
110,why is ava at the docks she hears a noise amp pulls out a gun it s just franco gh,0,0,0,0
111,exclusively for our local friends become winemakers in our redesigned ava room during napaneighbordays 1 12 amp 1 ,0,0,0,0
112, bansheerabidcat not alfonso oh pay me na slut not alfonso lt 3 charot lang ,1,0,0,1
113,if a girl bangs 10 guys in a year she s a slut but if a guy does it he s gay definately gay ,1,0,0,1
114, sarahspain thank you so much sarah i appreciate you continuing to share the petition amp podcast ,0,0,0,0
115, y x89 all always believe shaming necessary society there x89 x89 t co 9nlw24uqvg ,0,0,0,0
116, cheeksss lmaooooo virginity didn x89 t later hated men still bu x89 t co gfh5k8otmc ,0,0,0,0
117, yvonneho604 sassy cheerleader t co xvza3ifbn3 ,0,0,0,0
118, cave dweiier minakimes sarahspain michaelryanruiz 3 carroll russ amp the 12th man ,0,0,0,0
119,while we were at war amp defend our country you cowardly was in america iran is now number 1 in refugees run away fr ,0,0,0,0
120, nocturnkisses daddy s gonna wreck punish being naughty naughty little slut ,1,0,0,1
121,prime example of misogyny in the world of number of people you ve slept with is once i was talking to a friend ,0,0,0,0
122, t co xdtaimbpy5 n npornstars juice pornstar cumpilations 21sextury cumshot nippon movies games po x89 t co z2crzbi0uj ,1,0,0,1
123, evajunewilliams blairedaily found about wasn x89 t shaming bitch shaming ,1,0,0,1
124, smalltownandrew no there is a combination a tax cheating son of a bitch and a racist slut ,1,0,0,1
125,rt lucas bethany quit bitching bc girls post pics w their ass on the sink quit bitching ab how much their clothes cover their body ,1,0,0,1
126,maybe briannawu can help me see it but trump s forehead amp hair look like a low resolution texture on a model ,0,0,0,0
127, your sassy don x89 t shirts print i x89 m really maybe someone can x89 t co p7lj5odjug ,0,0,0,0
128,first today alone because cousin nastiest skank bitch i x89 ve do x89 t co 1np4kdzonv ,1,0,0,1
129, jus stop masterbation bitch masterbation life x9d don t h x89 t co th1fy3t6xf ,1,0,0,1
130, crucialstates pussyliquor the menstrual cramps peaness the tuts daddy issues grlwood doll skin witch fever ,1,0,0,1
131,rt neal75556257 robreiner mitch mcconnell is political slut he ll drag the whole country down amp into the mud 4 a political power play ,0,0,0,0
132, move little you re taking attention slut t co j8qsca8ku9 ,1,0,0,1
133,rt austin schmitty mother fucker bitch slut whore fucking fags brb gonna try girls for a bit,1,0,0,1
134, icecreamcakeee school school handling nothing matters don x89 t let x89 ,0,0,0,0
135,women doesn t adhere sexual norms called slutty perceived sexually acti x89 t co oxq4tjkk1l ,1,0,0,1
136, trulybbh isn t slut x8b she s exo l n n iheartawards bestfanarmy exol weareoneexo ,1,0,0,1
137, metalhe23706490 check sassy s patches 15 nplace order today t co m9tntjjtin ,0,0,0,0
138, maannyyyy everyone bitch actually everyone unfollow watch bitch about ,1,0,0,1
139,rt sandygrave3 rt amp dm if you want nudes horny teen nudes booty tits ass pussy cum jailbait slut cocktease cumslut sex po ,0,0,0,0
140,to my niggas having bitches it s what you just do to the bitches having niggas it s what a slut do my aunt told m ,1,0,0,1
141,rt emilyvimiller he was adamant on flying me to texas just for the night bc he just couldn t wait amp had to show me something this is ,0,0,0,0
142, hellskitchen hilarious she s american keeps talking she s british because wants t x89 t co ikb4womqqk ,0,0,0,0
143,college girl anal fairyeastt i like very dedicated people who have a purpose in this life and know what they want ,0,0,0,0
144, this britain under consent raped hundreds t co sxx7kjjfaw ,0,0,0,0
145,a reporter with a penis called a girl slut coz she was wearing what she wanted to wear haha good thing that woma ,1,0,0,1
146, harleylaroux and i applaud her agency she knows what she wants and likes and says so point blank wunderbar sh ,0,0,0,0
147,1 i got thanos die bitch 2 whoever made this is a monster tony is born in may and peter is born in august y ,1,0,0,1
148, dumpity realdonaldtrump calling stormy daniels horseface screwing wants t x89 t co wchrmdcenw ,0,0,0,0
149, jennie instagram shame start spreading false accusations about w x89 t co 1e4s7esxvx ,0,0,0,0
150,who wants to buymynudes i sell pics vids live skype sessions amp sexting sessions dm me sellingnudes ,0,0,0,0
151,rt lmpostmalone u gotta accept shit for what it is amp move on ,0,0,0,0
152, nostalgiashe 500 singles and slut bitch is my shit,1,0,0,1
153, just decided change halloween costume going british school slut this x89 ll great ,0,0,0,0
154, kayl donald ava s been coughing to fuck as well for months they told me it was a chest infection turns out she s ,1,0,0,1
155, sketchesbyboze somewhere tonight there s writing novel between working jobs ignoring voices telling up x89 ,0,0,0,0
156, kitbannerman4 newgirllbianca let s be honest i m a slut for most things ,0,0,0,0
157,world halloween night dress total slut other girls sa x89 t co 7hdprpneqm ,1,0,0,1
158,i like being called kitten baby babygirl babydoll etc bunny pet hun honey etc princess anything degrading slut whore toy etc ,0,0,0,0
159, british pussy cumshot indian stars uncircumcised hours ago x89 t co c6yybtpomv ,1,0,0,1
160, guhh ava s graduation wasn t for or about u dame that was ava s moment amp he more mad than she is,0,0,0,0
161,rt debbied74799118 steved4848 how dare she honest people and children were killed in manchester and this scum says that s fair retali ,1,0,1,0
162, markiaag bitches wanna friends niggas homies bitch ain x89 t wives don x89 t wanna,1,0,0,1
163,walked friend today said x89 sorry sassy earlier trying communi x89 t co lmzj9pdm3d ,0,0,0,0
164, briannawu i ll say it again this is not a sleepover this a celebrating a national championship oh well have a ,0,0,0,0
165,i can t post a comment saying must be nice to be a slut on a picture of a almost fully nude girl showing her as ,1,0,0,1
166, rt and like for more anal wanktribute sugarbaby camgirl slut porn gangbang amateur girl wet fuckme ,1,0,0,1
167, pawgslut cumshotsvids such a good girl ,1,0,0,1
168,pervy guy fucks eva for dirty creampie in hd porn nsfw orgasm wet horny pussy sex porn video xxx rt ,1,0,0,1
169, transgender people stupid vagina biggest ever wouldnt makeamericasmartagain ,1,0,0,1
170,concurso porno japones go girls nude nylons stocking colombian slut what is the best free amateur porn site petite ,1,0,0,1
171,i feel like a slut because i thrive on twitter but they killed vine,1,0,0,1
172,fact a girl with small boobs can post a pic in a bra amp it will be viewed as cute and innocent but if a girl with b ,0,0,0,0
173, today sydney growing can t believe going be x89 t co biww4w1zir ,0,0,0,0
174,ava addams getting fucked by big black cock ,1,0,0,1
175, flies jimmy cuz long sniffer trybe says that being domesticated is bad and has everyone brainwashed to believe it too,0,0,0,0
176,wt amp f through three events ava gruzen is in 12th place with 1 805 points in the pentathlon at the harvard multi meet ,0,0,0,0
177, maydaymindy9 i never knew adolf amp ava braun had a child ,0,0,0,0
178,rt hollykay2141 what an awesome battle between my future lady lions so many great ball handlers defenders amp teammates the lady lions ,0,0,0,0
179,i licked her legs and it was like her hair we listened to radiohead playing on the radio she had two cigar ,1,0,0,1
180, british pussy cumshot indian stars uncircumcised hours agorakel liekki x89 t co wsvore2qpu ,1,0,0,1
181, soapjenn when ava amp franco are the more socially appropriate people in the room your sociopathic tendencies are showing gh,0,0,0,0
182, miamischievious paulpromotes natuky85 adultmodelpromo tattooed babes fancentrotribe camangelsxxx rtslave 7 such a naughty girl,1,0,0,1
183,hidden camera in the toilet gt then sign up note verify email to send msg to girls ,1,0,0,1
184,really calling i x89 m middle doing making sandwich i x89 m chopped ,0,0,0,0
185,i let a guy with a camaro take my virginity and dump me for the community slut amp now hes ignoring my existence so w ,1,0,0,1
186, but sassy never chance probably laugh x89 t co n0yvlsbwpb ,0,0,0,0
187,rt jojoansett i sit back amp observe every person in my life whether we talk everyday or not i know who motivates me amp is genuine i also ,0,0,0,0
188,when me n amp emilyyirvine are bored ,0,0,0,0
189, schoolgirl school interracial quarterback videos cumshot surprise japanese you x89 t co nqjewrihcg ,0,0,0,0
190, t co zy1nmrpz4n n aestheticbaal leunclearty nfuck potato fuck videos care x89 t co 6emx9dx3yr ,0,0,0,0
191, xa0 npussy amateur adult women nporno snapchatme hairy xxx nsnapme x89 t co p8twygozav ,1,0,0,1
192,rt planetpompeii egg shells perfectly preserved in clay very rare archaeological find from pompeii now preserved in the antiquarium of ,0,0,0,0
193,rt cfootgoddessx your balls wouldnt manage under my huge feet pure toture to you little cum slut foot slave bitches humiliation hum ,1,0,0,1
194, theycallmetxt resource gamergate thing thought asked game with snatch ,0,0,0,0
195, praetorsuit which specifically i x89 d personally pitch black world devil there rapist an x89 t co burgtjfrya ,1,0,1,0
196,rt amberca10937197 wanna meet a really sexy bitch for a good evening free signup porn dick webca ,1,0,0,1
197,rt romyboekman people like to virgin shame just as much as they do slut shame girls can t win either way ,1,0,0,1
198,rt eabha swan i think it s hilarious how lads instantly label a girl as a slut just cause the girl isn t interested in them wipe your te ,0,0,0,0
199, rico21 idk about the yoga thing but yes i do think women were a different breed back in the day truly strong wo ,0,0,0,0
200, fourecchitasty anti gamergate campaign t co i3q5ubgl4x ,0,0,0,0
201, tempeampela happy birthday liat ava kampret ,0,0,0,0
202,selling my dropbox now pm me only paypal kinkygirl slut slutty fuckme yesdaddy daddy sugardaddy horny ,1,0,0,1
203,happy bday i love amp miss u maddygueccia ,0,0,0,0
204, see t co wksevw8fep there kashmiris working models india film x89 t co rvxoxrdt6h ,0,0,0,0
205,one thing about my tl u gon get the minds of a kid a teenager a girlfriend a desperate lover a wife a slut ,1,0,0,1
206,listened to that ava max thot who the fuck likes this trashy shit,0,0,0,0
207, got i x89 m settled nothing wrong having then really don x89 t slu x89 t co 2prfd73z5w ,0,0,0,0
208,ava diamond amp amp dale moss performance and stress management ,0,0,0,0
209, babahama09 ava landiggy11 i agree when that day comes none of this drama amp politics will matter we will all n ,0,0,0,0
210,if you are insulted by me calling you bitch slut hoe or any term like this then please leave my account,1,0,0,1
211, incest taboo teen slut porn alex coal slut stepsister 01 13 next part amp full ,1,0,0,1
212,rt ernieesto16 might fuck around amp glow up this year idk tho,0,0,0,0
213, hot naked girls bettyevetoy difference between girls sel x89 t co 2ytgf3vxmi ,0,0,0,0
214,so i took a week off to chill w ava before i start my new job amp before caleb comes i can t emphasize how much i l ,0,0,0,0
215,rt crunchyslice might fuck around and work on changing my unhealthy behaviors,0,0,0,0
216,rt joshscampbell new supreme court says mystery company must pay fines while it challenges mueller related subpoena ,0,0,0,0
217,rt realkentmurphy no matter what sport you play this a perfect example of a great teammate ,0,0,0,0
218, tbh you bea n aaden are my most favorite bitches in the world even if y all are sometimes annoyin ,1,0,0,1
219,i did say from 5 months ago that ava max is gonna blow up thats so raven who bitchs,1,0,0,1
220, mikeoxbignfl sarahspain these are a few i ve drawn the average from 2002 lisak amp miller 2009 stephanie mcwhort ,0,0,0,0
221, kiingoqthefall fight fandoms shaming amp kidney jokes aren x89 t miley an x89 t co tytzbs2zib ,0,0,0,0
222, norareed totalbiscuit middle gamergate dunno y all expecting ,0,0,0,0
223,rt jeffreestar diva is all smiles his heart amp lungs are perfect his x rays look really good but he may be having a trachea issue s ,0,0,0,0
224,i m tired of fucking these lame bitches i just need a slut ,1,0,0,1
225, pussy pussy pictures naked pokemon movie geeky nt co zwvjmuxjh0 ,1,0,0,1
226,dm me for some private fun like and rt snapchat schoolgirl cumslut cockslut snap slut cumwhore jailbait ,1,0,0,1
227,too little too late just like emmett till amp the central park 5 these innocent men were wrongfully accused amp murd ,0,0,0,0
228,three generations reese witherspoon graces the cover of vogue with her daughter amp mom ,0,0,0,0
229,lindsey graham s slut whore drunk quote about victims haunt his x89 t co klbyjbugqs ,1,0,0,1
230,sassy wants signing first prepare good don t know x89 t co qiqgib17ik ,1,0,1,0
231,rt decprince55 as much as i want to have her baby i struggle with the way she and some other studs embrace toxic masculinity you can ,0,0,0,0
232, porn drunk england interracial threesome iranian karina sapphic soloboy fuck x89 t co 4lavci5pzr ,1,0,0,1
233,me jamming to break up w your girlfriend chris honestly this is the slut anthem me i know right i fucking love it ,1,0,0,1
234, yoncesgalore said he should shamed mani ,0,0,0,0
235, luna yumizuki gotta focus study thinking useless shit n nme n nme n nmy brain bitch flo x89 ,1,0,0,1
236,snapchat xfoxygirl n n nparis unwanted creampie russian threesome indian porno cumshot nake x89 t co pxckzy763z ,1,0,0,1
237, give coochie homeless dirty bitch x89 thank t co 6tywhqdnsa ,1,0,0,1
238,is that girl a slut or is she free and happy ,1,0,0,1
239,hogland amp vinil we don t care ft ava hoglandvinil edm edm edm rt,0,0,0,0
240,dallas option clinic march 8 9 dallas tx the citadel kennesaw state 6a illinois state champs carey groves and ,0,0,0,0
241, itsgodgabitch ava has all of those and loves gaga too what s with this random slander huh why do you need to pit ,1,0,0,1
242, daddys mommys world bodysuit onepiece infant t co 5jzbdvjuqn clothing children bodysuit x89 t co 4hd80sval3 ,0,0,0,0
243, jahoodlum being sometimes taking shirt ceiling karate chopped hand ,0,0,0,0
244,zero the everlasting gaze ava adore smashing pumpkins riffs amp solos via youtube,0,0,0,0
245,rt csg athletics congrats to anna ray ziegler ava fortney nyah funderburke amp jordan aurnou rhees on finishing 2nd in the prelims this m ,0,0,0,0
246,rt mother trouble ava ruchi ruchhh our history amp present is deplorable in so many ways when i was little i wondered how people could ,0,0,0,0
247, wasnt bitch locked dropped songs t co 3cbwlckctu ,1,0,0,1
248, bbadicali sarcasticfem23 msvanillarose facebook habitually harass calling addicted druggy hooker for x89 ,1,0,1,0
249,rt letitbeglorious she served so many looks in this video check on it really is that bitch ,1,0,0,1
250, ava shaunking so what does this show the same s it is still happening today against black children women amp men ,0,0,0,0
251,dudes really be slut shaming ig models famous chicks and thinking their girls are perfect angels ,1,0,0,1
252,ava lauren dominatrix first time fucking group india sex video kira kener lesbians videos oil ass orgy scene porno ,1,0,0,1
253,rt mlmfarley watching an old classic movie pandora and the flying dutchman ava gardner amp james mason started at 6 00 pm pst what a be ,0,0,0,0
254, facial cumshots nasty hardcore gangbang t co pszj0auwja daddy cumshot little story fema x89 t co clzgi0ccbg ,1,0,0,1
255, porn naturaltits swinger cumshot hiddencam mature ladies missy monroe schoolgirls tight uni x89 t co csidxzot8c ,1,0,0,1
256,rt dm slut boys n girls img20plus,1,0,0,1
257,rt concertblogger anightofstardust at uniontransfer on jan 11th w lance davis amp ava cherry phillylovesbowie davidbowie photo joe ,0,0,0,0
258,rt deptofdefense these probably aren t the fries you re used to usarmy special forces operators practice their skills with the fast ro ,0,0,0,0
259,rt duxathletics goal ava dant lights the lamp 8 minutes into the final period duxbury leads 6 0,0,0,0,0
260, love you bby rt and like for more girls cock cuckold cum dating dm hardcore milf naked nsfw nudes p ,1,0,0,1
261, ava injustice continues by politicians of both parties through gov t policies which inflicts harm injustice amp circ ,0,0,0,0
262, right ridiculous regreted reported sloppy t co tcmolxts1l ,0,0,0,0
263,rt escaflowneclown reading kyle buchanan profile on ryan coogler amp black panther i love this part with ava duvernay amp ryan coogler expre ,0,0,0,0
264,hot anal double penatration ava devine dirty girl blowjob assfuck bj milf anal cumshot faketits ,1,0,0,1
265,rt scarcexbitch 368 love ur tweets w ava ,1,0,0,1
266, movie porno masturbation comics porno outdoor handjob granny fucking casting gaping pussy cas x89 t co wse6lhf57f ,1,0,0,1
267,rt ratalburo17 fuck me like a bitch my pussy is wet horny boobs tits pussy porn amateurporn nsfw cumslut blowjob sex sl ,1,0,0,1
268, ypwphotographer you re looking polite employ sassy flower t co zglcofmlvd ,0,0,0,0
269,secretly recorded black tasexycom n t co kgomzdjsd2 black fucking habesha x89 t co rsdluqrjfd ,1,0,0,1
270,wanna unblocked the stupid slut from mixer i can will block her back idc if i m being petty or not she bitch disr ,1,0,0,1
271, finalcybergirl i should stop calling you a slut,1,0,0,1
272, andreaaa666 alexexamples i called you stupid slut and spit on you don t fucking lie bitch,1,0,0,1
273,college today class called character whore professor said x89 x89 t co fyogmwdy97 ,0,0,0,0
274,rt zoiesorensen if a girl with no tits posted a pic wearing a plunging shirt everyone would be talking about how cute she is but if a g ,1,0,0,1
275, i x89 ve hardly tweets x89 slut shaming x89 x9d alissa violet towards shane jake shane liter x89 t co svtccc4bzs ,1,0,0,1
276, ava mfc jyoungwhite lmao idk if i am okay if you dm me why im so fucked im all yours literally no one wants these issues ,0,0,0,0
277, ajhuncho don x89 t won x89 t bitch broke x8f x8f x89 x8d x89 x95 x8f x8f x89 x8d x89 x95 x8f ,1,0,0,1
278, thoughts on sassy sin birth x89 she s t co rv7uth563f ,0,0,0,0
279,rt iamwytunes niggas think a girl with a baby is a slut but your mom who is a single mother is the strongest woman alive ,1,0,0,1
280, sarahspain good luck sarah amp realmikewilbon,0,0,0,0
281,new womens ava amp viv red amp white american flag bikini top plus size 26w ,0,0,0,0
282,and i got what a fucking son bitch but mfs swear ima slut amp what not ,1,0,0,1
283, japanese amateur italian porno handjob longest cumshot cartoon crempie drunk fucked retr x89 t co khs0vsjtkr ,1,0,0,1
284,have i ever told y all that i love ava my fucking baby,0,0,0,0
285, mariemccolgan stmarysderry btyste derryslothowl ava canney congratulations maeve amp ava canney what a brilli ,0,0,0,0
286, makeme scream01 it depends at the beginning i like kitty baby once i approach my climax i love been called bitch ,1,0,0,1
287, cause frozen enough victoria angel perfect enough lizard king x89 s grasp ,0,0,0,0
288, velourhood masonschreinerr just watch gossip girl amp act like serena amp you ll be a slut,1,0,0,1
289,female overwatch player h every other team member fucking slut get on mercy you bitch c nt didn t know they coul ,1,0,0,1
290, what kinda skeet bitch every rapper sucked every rapper dick t co av0uccxdsn ,1,0,0,1
291, don t slanderer worthless guts ya slut ,1,0,0,1
